Word,Meaning,Usage
Obstreperous,noisily and stubbornly defiant; willfully difficult to control,"When the teacher asked the obstreperous student simply to bus his tray, the student threw the entire tray on the floor, shouted an epithet, and walked out."
Subterfuge,Something intended to misrepresent the true nature of an activity,"Finally deciding to abandon all subterfuge, Arthur revealed to Cindy everything about his secret affair over the past two years."
Firebrand,someone who deliberately creates trouble,"Freddie is a firebrand: every time he walks into the office, he winds up at the center of heated argument."
Unpropitious,(of a circumstance) with little chance of success,"With only a bottle of water and a sandwich, the hikers faced an unpropitious task: ascending a huge mountain that took most two days to climb."
Cosset,treat with excessive indulgence,"The king and queen cosseted the young prince, giving him a prized pony for his fifth birthday."
Recrimination,mutual accusations,"The two brothers sat and cried, pointing fingers and making elaborate recriminations of the other’s guilt."
Spartan,unsparing and uncompromising in discipline or judgement; practicing great self-denial,"After losing everything in a fire, Tim decided to live in spartan conditions, sleeping on the floor and owning as little furniture as possible."
Peripatetic,travelling by foot,Jim always preferred a peripatetic approach to discovering a city: he felt that he could see so many more details while walking.
Dispensation,An exemption from a rule or obligation,"Since her father is a billionaire, she is given dispensation form many of the schools’ policies."
Imperious,having or showing arrogant superiority to and disdain of those one views as unworthy,Children are imperious with each other before they learn that earning someone’s respect is better than demanding.
Stalwart,dependable; inured to fatigue or hardships,"Despite all the criticism directed at the President during his scandal, Lisa has remained his stalwart supporter."
Dovetail,"fit together tightly, as if by means of an interlocking joint","Although Darwin’s evolution and Mendel’s genetics were developed in isolation from one another, they dovetail very well."
Puissant,powerful,"Over the years of service, and quite to his surprise, he became a puissant advisor to the community."
Hubris,overbearing pride or presumption,"Bill Clinton was criticized for his hubris, since he believed he could get away with anything once in the While House."
Inimitable,defying imitation; matchless,"Mozart’s music follows a clear pattern that, anyone could imitate, but his music gives an overall sense of effortlessness that is Inimitable."
Asperity,harshness of manner,"The editor was known for his asperity, often sending severe letters of rejection to amateur writers."
Presentiment,a feeling of evil to come,"On the night that Lincoln would be fatally shot, his wife had a presentiment about going to Ford’s Theater, but Lincoln persuaded her that everything would be fine."
Flippant,showing inappropriate levity,"Although Sam was trying to honor Mark’s sense of humor, many found it quite flippant that he wore a comic nose and glasses and glasses mask to Mark’s funeral."
Magisterial,offensively self-assured or given to exercising unwarranted power,"Though she was only a third grade teacher, Ms. Martinet was magisterial in dealing with her class, lording over them like a queen."
Invidious,likely to cause resentment,"At a time when many others in the office were about to be laid off, many considered Cheryl’s fine clothes that day an invidious display."
Lacerate,deeply hurt the feelings of; distress,The teacher was fired for lacerating a student who wrote a poor essay.
Ribald,humorously vulgar,"The speaker was famous for his ribald humor, but the high school principal asked him to keep the talk G-rated when he spoke to the student body."
Corollary,a practical consequence that follows naturally,"A corollary of Hurricane Sandy, which ravaged the east coast of the U.S., is a push to build higher sea walls to protect against future hurricanes."
Inviolate,must be kept sacred,"While the literary critic subjected most of the classics to the harshest reviews, he regarded Cervantes as inviolate, and had nothing but praise for him."
Tempestuous,as if driven by turbulent or conflicting emotions; highly energetic and wildly changing or fluctuating,"Chuck and Kathy had always been stable and agreeable people on their own, but when they got involved, it was a tempestuous relationship."
Denouement,the final resolution of the many strands of a literary or dramatic work; the outcome of a complex sequence of events,"At the denouement of the movie, all questions were answered, and the true identity of the robber was revealed."
Rarefied,made more subtle and refined,Jack’s vulgar jokes were not so successful in the rarefied environment of college professors.
Improvident,not given careful consideration,"Mary was improvident, never putting money aside for the future but spending it on decorating the interior of his home."
Machinate,"engage in plotting or enter into a conspiracy, swear together",The rebels met at night in an abandoned barn to machinate.
Hobble,to hold back the progress of something,"Bad weather, has hobbled rescue efforts, making it difficult for crews to find bodies in the wreckage."
Encumber,hold back,The costume encumbered all my movements and caused me to sweat profusely.
Unprepossessing,creating an unfavorable or neutral first impression,"World leaders coming to meet Gandhi would expect a towering sage, and often would be surprised by the unprepossessing little man dressed only in loincloth and shawl."
Bristle,react in an offended or angry manner,"As we discussed the painting, I noticed the artist’s wife bristling at our criticisms, ready to defend her husband’s work."
Epigram,a witty saying,My favorite epigram from Mark Twain is “A man who carries a cat by the tail learns something he can learn no other way.”
Gambit,"a maneuver or risk in a game or conversation, designed to secure an advantage","Randy played a gambit, telling his boss that he would leave at the end of the week if he didn’t get a raise."
Meteoric,like a meteor in speed or brilliance or transience,"The early spectacular successes propelled the pitcher to meteoric stardom, but a terrible injury tragically cut short his career."
Philistine,smug and ignorant towards artistic and cultural values,"Jane considered Al completely philistine, because he talked almost exclusively about video games; she was entirely unaware of how well read he really was."
Nettlesome,causing irritation or annoyance,"Maria found her coworker’s cell phone nettlesome, because every few minutes it would buzz to life with another text message."
Inanity,total lack of meaning or ideas,"Bill’s poem was nothing more than a list of impressive sounding words, so there was no point in trying to take meaning from the inanity."
Appurtenant,supplying added support,"In hiking Mt. Everest, sherpas are appurtenant, helping climbers both carry gear and navigate treacherous paths."
Arrogate,seize and control without authority,"Arriving at the small town, the outlaw arrogated the privileges of a lord, asking the frightened citizens to provide food, drink, and entertainment."
Atavism,a reappearance of an earlier characteristic; throwback,Much of the modern art movement was an atavism to a style of art found only in small villages through Africa and South Americal.
Languish,become feeble,"Stranded in the wilderness of four days, the hiker languished, eating protein bards and nuts."
Bemoan,express discontent or a strong regret,"While the CFO carefully explained all the reasons for the cuts in benefits, after the meeting employees bemoaned the cuts as further evidence that management was against"
Deign,do something that one considers to be below one’s dignity,The master of the house never deigned to answer questions from the servant.
Rapprochement,the reestablishing or cordial relations,"Although Ann hoped that her mother and her aunt would have a rapprochement, each one’s bitter accusations against the other made any reconciliation unlikely."
Reprisal,a retaliatory action against an enemy in wartime,"The Old Testament doctrine of “an eye for an eye” would seem to justify an immediate physical reprisal for any injury, but that interpretation neglects the many passages that value mercy and loving-kindness over revenge."
Browbeat,be bossy towards; discourage or frighten with threats or a domineering manner,"During the interrogation, the suspect was browbeaten into signing a false confession."
Hoary,ancient,"Most workout gurus are young, fit people, whereas most yoga gurus are hoary men with long white beards."
Broadside,a strong verbal attack,Political broadsides are usually strongest in the weeks leading up to a national election.
Effervescent,marked by high spirits or excitement,"After the sales result, the manger was in an effervescent mood, letting several employees leave work early that day."
Ersatz,not real or genuine; phony,"The car dealer’s ersatz laughter was immediately followed by a price quote, one that Shelley found highly inflated."
Unstinting,very generous,"Helen is unstinting with her time, often spending hours at the house of a sick friend."
Debonair,having a sophisticated charm,"James Bond is known for his good looks, high tech gadgets, and debonair manner."
Besotted,"strongly affectionate towards
very drunk","Even though her father did not approve, Juliet became besotted with young Romeo.
Never before have I seen my mom so besotted, and honestly, I hope it’s the last time she drinks so much."
Squelch,suppress or crush completely,"After the dictator consolidated his power, he took steps to squelch all criticism, often arresting any journalist who said anything about that could be interpreted as negative about his"
Apothegm,"a short, pithy instructive saying","Winston Churchill is famous for many apothegms, but this might be his most famous: “It has been said that democracy is the worst form of government except all the others that have been tried.”"
Recrudesce,to break out or happen again,"After years of gamblers anonymous, Tony thought he’s broken his compulsive slot machine playing, but it took only one trip to the Atlantic City for a full recrudescence—he lost $5k on the one armed bandit."
Afford,provide with an opportunity,The summit of Mt. Kilimanjaro affords a panoramic view that encompasses both Tanzania and Kenya.
Elegiac,expressing sorrow,Few can listen to the elegiac opening bars of the Moonlight sonata without feeling the  urge to cry.
Gumption,resourcefulness and determination,"Wallace Stegner lamented the lack of gumption in the U.S. during the sixties, claiming that no young person knew the value of work."
Aplomb,great coolness and composure under strain,Nancy acted with aplomb during dangerous situations-she once calmly climbed up an oak tree to save a cat.
discursive,(of e.g. speech and writing) tending to depart from the main point,"Many readers find it tough to ready Moby Dick since the author is discursive, often cutting the action short to spend 20 pages on the history of whale."
Desiccated,"uninteresting, lacking vitality",Few novelists over 80 are able to produce anything more than desiccated works-boring shadows of former books.
Stultify,"cause one, through routine, to lose energy and enthusiasm","As an undergraduate Mark felt stultified by classes outside his area of study; only in grad school, in which he could focus solely on literary analysis, did he regain his scholarly edge."
Turgid,(of language) pompous and tedious,"The amount of GRE vocabulary he used increased with his years-by the time he was 60, his novels were so turgid that even his diehard fans refused to read them."
desideratum,something desired as necessity,The desideratum of the environment group is that motorists should rely on carpooling.
Conflate,mix together different elements or concepts,"In her recent book, the author conflates several genres-the detective story, the teen thriller, and the vampire romance-to create a memorable read."
Bromide,a trite or obvious remark,"Instead of sharing his umbrella, the cheeky stranger offered Martha the following bromide: ”looks like it’s raining”"
Malingerer,someone shirking their duty by pretending to be sick or incapacited,"At one time, our country was full of hardworking respectful people, but now it seems that everyone is a malingerer with little inclination to work."
Unimpeachable,free of guilt; not subject to blame; beyond doubt or reproach,"After his long and unimpeachable service to the company, Sharat felt that a gold watch was a slap in the face rather than an honor."
Dolorous,showing sorrow,Choping’s ballades are filled with sharp changes in moods-a dolorous melody can give way to a lighthearted tempo.
Mendicant,a pauper who lives by begging,"Tolstoy was an aristocrat, but he strove to understand the Christianity of the Russian peasants by wandering among them as a mendicant."
Inviolable,"never to be broken, infringed, or dishonored",To many the grass at Wimbledon is inviolable and only greater tennis players are able to enjoy a game there.
Vaunted,highly or widely praised or boasted about,"For years, they had heard of New York City’s vaunted skyline, and when they finally saw it, the spectacular cityscape did not disappoint them in the least."
Enormity,an act of extreme wickedness,The enormity of Pol Pot’s regime is hard to capture in words-within months hundreds of thousands of Cambodians lost their lives.
Proselytize,"convert (someone) to another religion, philosophy, or perspective","Lisa loves her Mac but says little about it; by contrast, Jake will proselytize, interrogating anyone with an Android about why she didn’t purchase an iPhone."
Estimable,deserving of esteem and respect,"After serving thirty years, in which he selflessly served the community, Judge Harper was one of the more estimable people in town."
Simulacrum,"a representation of a person (especially in the form of sculpture)
a bad imitation","The Shanghai Urban Planning Exhibition Center showcases a simulacrum of all the present and approved buildings in the city of Shanghai.
The early days of computer graphics made real people into a simulacrum that now seems comical."
Sardonic,Disdainfully or ironically humorous; scornful and mocking,A stand-up comedian walks a fine line when making jokes about members of the audiences; such fun and joking can quickly become sardonic and cutting.
Extrapolate,draw from specific cases for more general cases,"By extrapolating from the data on the past three months, we can predict a 5% increase in traffic to our website."
Graft,"corruption, usually through bribery","In countries with rampant graft, getting a driver’s license can require no more than paying an official."
Ineluctable,impossible to avoid or evade:,"For those who smoke cigarettes for years, a major health crisis brought on by smoking is ineluctable."
Enamored,Strongly attracted to or in love with,"She is completely enamored with Just Bieber, and goes to all his concerts on the East coast."
Evanescent,tending to vanish like vapor,The storm flashed into existence above us and lasted only a short time-an evanescent turbulence of wind and cloud.
Raillery,light teasing,"The new recruit was not bothered by the raillery, finding most of it light-hearted and good-natured."
Pillory,ridicule or expose to public scorn,"After the candidate confessed, the press of the opposing party took the opportunity to pillory him, printing editorials with the most blatantly exaggerated accusations."
Bereft,"unhappy in love; suffering from unrequited love
sorrowful through loss or deprivation","After 64 years of marriage, William was bereft after the death of his wife.
”You are not bereft if you haven’t played on your Xbox in the past week,” his mother said."
Infelicitous,inappropriate,"During the executive meeting, the marketing director continued to make infelicitous comments about the CEO’s gambling habit."
Demonstrative,given to or marked by the open expression of emotion,"When Sally told James that she wanted to break up with him, she expected he would react demonstratively, but he quietly nodded his head and left without saying a word."
Officious,intrusive in a meddling or offensive in manner,"The professor had trouble concentrating on her new theorem, because her officious secretary would barge in frequently reminding her of some trivial detail involving departmental paperwork."
Veritable,"truthfully, without a doubt","Frank is a veritable life-saver - last year, on two different occasions, he revived people using CPR."
Eponym,the name derived from a person (real or imaginary); the person for whom something is named.,"Alexandria, Egypt is an eponym because it is named after Alexander the Great."
Obtain,"be valid, applicable, or true","The custom of waiting your turn in line does not obtain in some countries, in which many people try to rush to front of the line at the same time."
Countermand,a contrary command canceling or reversing a previous command,"By the time the colonel countermanded his soldiers not to land in enemy territory, a few helicopters had already touched down amid heavy gunfire."
Palaver,speak (about unimportant matters) rapidly and incessantly,"During the rain delay, many who had come to see the game palavered, probably hoping that idle chatter would make the time to go by faster."
Exorbitant,greatly exceeding bounds of reason or moderation,"Shelley made one exorbitant purchase after another, buying new clothes and taking vacations even though she earned limited money."
Adjudicate,to serve as a judge in a competition; to arrive at a judgement or conclusion,Only those with the most refined palates were able to adjudicate during the barbeque competition.
Dissolution,a living full of debauchery and indulgence in sensual pleasure,"Many Roman emperors were known for their dissolution, indulging in unspeakable desires of the flesh."
Despot,a cruel and oppressive dictator,"The Emperor Claudius was regarded as a fair-minded leader; his successor, Nero, was an absolute despot."
Promulgate,state or announce,"The President wanted to promulgate the success of the treaty negotiations, but he had to wait until Congress formally approved the agreement."
Row,an angry dispute,The Prime Minister looked very foolish after his row with the foreign dignitary was caught on video and posted on youtube.
Dissipate,"squander or spend money frivolously
to disperse or scatter","The recent graduates dissipated their earnings on trips to Las Vegas and cruises in Mexico.
Kathleen’s perfume was overwhelming in the cramped apartment, but once we stepped outside the smell dissipated and we could breathe once again."
Misattribute,To erroneously attribute; to falsely ascribe; used especially of authorship,I made a mistake; I misattributed “Crime and Punishment” to Leo Tolstoy when it was actually written by Fyodor Dostoyevsky.
