Word,Meaning,Synonym,Antonym,Usage
Exalt,"Think or speak very high of (someone or something)
Raise in rank, character or status","magnify, elevate, acclaim","humiliate, degrade","In the middle ages, the village bards used to compose songs and poetry exalting the miracles of the Virgin Mary.
The honeymoon is still in full swing, and social media will continue to exalt him until they find some other person to attract the attention of netizens!
Despite the massive defeat in the recent elections, it is surprising to see loyal party members continuing to exalt the chairman of the party."
Congruous,"corresponding or agreeing, suitable
marked or enhanced by harmonious agreement among constituent","compatible, conformable, consistent, harmonious, accordant, consonanat","incongruous, unfitting, disagreeing, unharmonious, unsuitable","I think we should change the name of our agency. It is not congruous to what we are doing.
The journalist’s shift into politics was congruous with his aspirations, since he has always been a strong supporter of corrupt-free administration.
fighter jets pilots coordinate both with each other and with the controller on the ground to fly together in formations that look graceful and congruous."
Infatuation,"very strong feelings of love or attraction for someone or something, especially when these are unreasonable and do not last long","crush, obsession","dislike, hatred",Teenagers have their own infatuations.
Foreboding,a strong feeling that something unpleasant or dangerous is going to happen,"omen, warning, disquiet, apprehensiveness, trepidation, perturbation, premonition",providence,"Though the circumstances were foreboding and demanded him to be pessimistic, he was chipper and enthusiastic.
He has a strange foreboding that he would meet with an accident."
Aggravate,"to intensify and worsen an illness or an already unpleasant situation
to irritate someone deliberately",exacerbate,"alleviate, relieve, allay, mitigate, please, assuage, aid","Pollution can aggravate asthma.
The country’s dire economic position was further aggravated due to the non-arrival of the monsoon which was bound to have an impact on agricultural output.
When the puppy who was already so dull since yesterday refused to eat, my anxiety got further aggravated.
When relations between two nations are going trough a rough patch, any incident at their borders is viewed with caution. Any untoward even has the potential to aggravate the situation."
Stupendous,"extremely large or impressive, especially greater or better than you expect","huge, colossal, vast, mega, staggering, gigantic, enormous","unimportant, ordinary",there are always many who envy a person with stupendous wealth
Abrasion,"the act or process of damaging or wearing away something by rubbing, grinding, or scraping
a damaged area of the skin where it has been rubbed against something hard and rough","scrape, graze",,He suffered cuts and abrasions to the face.
Foreclose,"Rule out or prevent a course of action.
take away the right of mortgagors to redeem their mortgage","deprive, exclude, preclude, rule out",,"Failing to get either payment or any response, the bank decided to foreclose the five-year loan account in 2 years."
Strictures,"severe criticism, especially of somebody’s behaviour","castigation, censure","praise, compliment",She merely ignored any strictures on the way she dressed
Collation,"the action of collecting and combining something
light informal meal","contrast, juxtaposition, supper, comparision","feast, fiesta","Do not underestimate the benefits of collation and comparison of data from different sources.
After the meeting concluded, the host invited the delegates for a collation where simple traditional delicacies of his country were served.
During Ramadan, a month of fasting, he takes only collation after sunset."
Discreet,"Showing good judgement and restraint especially in conduct or speech, without causing social embarrassment or distress
not readily seen or noticed","diplomatic, covert, unnoticeable, tactful, prudent, inconspicuous, judicious","overt, blunt, rash, careless, open, direct","The father of the girl to be married carried out discreet enquiries into the antecedents of the youth who had proposed to the girl.
Though he meant to enter his house discreetly without making a noise, the keys emitted a click so loud that his parents woke up"
Coaxing,gentle attempts to persuade somebody to do something or to get a machine to start,"tempt, induce, cajole, wheedle","repel, repulse, discourage","Despite his earnest coaxing, the car refused to start.
The coaxing worked and his daughter ate the meal eventually"
Frigid,"very cold
not showing any feelings of friendship or kindness
not able to enjoy sex","freezing, bitter, arctic","sweltering, fervent, igneous, ardent","The water was too frigid to allow him to remain submerged.
When the storm blew in from Alaska, the wind was absolutely frigid."
dissilusion,"to destroy someone’s belief in something or to destroy someone’s good opinion of someone
disappointment resulting from the discovery that something is not as good as one believed it to be
cause (someone) to realize that a belief they hold is false","disenchant, undeceive, disabuse",delude,Cathy was disillusioned when she learnt that Bob whom she seriously dating all these years also had an affair with another woman.
Infedility,Unfaithfulness in understanding agreement or contract,"unfaithfulness, disloyalty",fidelity,"Indian cinema seems to be focusing on infidelity and extra marital affairs, issues that were not spoken about openly earlier"
Tantalize,Excite by exposing something desirable while keeping it out of reach,"tease, bait, harass","comply, please, satisfy","Fate often tantalizes its victim by holding out hope and immediately substituting it with open despair.
Rick Riordan is a pro at tantalizing his readers with cliffhangers.
His friends tantalized him with junk foods loaded with sugar, knowing fully well that he is on a strict diet."
Profundity,"the quality of understanding or dealing with a subject at a very serious level
the quality of being very great, serious, or powerful
something that someone says that shows great understanding","profoundness, depth","unreasonableness, illogical, stupidity, Irrationality","Her books are a mixture of playfulness and profundity.
The depth and profundity of her feelings."
Execrable,extremely bad or unpleasant; so bad that it is fit to cursed,"awful, dreadful, appalling, terrible","pleasant, excellent","It was execrable performance, so poor in quality and so utterly horrible that I slept right through it and only woke up when my husband began to loudly curse the actors towards the end of the second act!
Living conditions in the slums in that part of the city are execrable, and yet the children you see there have a smile on their pinched faces even as they roam around in rags, looking for the tiniest scraps of food among the garbage."
Derisive,unking and showing that you think someone or something is ridiculous,"ridiculing, contemptuous, scornful, mocking","flattering, complimentary, praising","The journalist was widely condemned for using a derisive tone, sometimes bordering on personal attacks, in criticizing those political leaders whose ideologies differed from his.
With a sarcastic tone and a derisive smile, John would often belittle the efforts put by his subordinates in the project."
Sumptuousness,The quality possessed by something which is excessively expensive or satiating,"elegance, sophistication, luxury","poor taste, roughness, inelegance, crudeness, ugliness",The sumptuous and grand dinner left them satiated and in quite a daze.
Conscionable,"acting, or wishing to act, according to one’s conscience
habitually governed by a sense of what is right and just
something that is legally valid; equitable, just","scrupulous, principled, straight-forward","unscrupulous, unprincipled, immoral","It was perhaps easy to get a driving license by tipping the inspector. But being of conscionable nature, Raj decided against it.
As someone who believed in animal rights, adopting a vegan diet was  a conscionable choice, though there was no religious or cultural binding to do so.
To let someone use your car knowing it to be defective is not a conscionable act."
Regressive,"becoming or making something less advanced.
having less effect on the rich that on the poor.","unprogressive, retrograde",progressive,"The boys were suddenly regressed when their team lost.
The regressive style of the ruling politicians has damaged the reputation of some clusters of villages."
Deterrance,"a thing that makes someone less likely to do something
the act of preventing a particular act or behavior from happening","inhibition, avoidance, obstacle, hindrance, blockage","aid, assistance","Hopefully his punishment will act as a deterrent to others.
Stop signs are used as a deterrence to discourage speeding.
As a measure of theft deterrence, security guards were placed everywhere in spite of the numerous anti-theft devices."
Puritanical,having very strict moral attitudes,"abstinent, rigid, moral, austere, confirming","degenerate, debauched, bad, degraded","In this modern world with its so called open moralistic trends, puritanical views are frowned upon or laughed away."
Endogenous,Growing/generated from within,internal,exogenous,"The feeling of hostility between the 2 families was endogenous, going back nearly a century : it needed no external prodding. "
Internecine,"war or fighting happens between members of the same group, country or organization","ruinous, deadly, destructive",constructive,"Historically, these two nations have always been engaged in internecine warfare, such that they are constantly out to destroy each other.
There is an internecine feud between the three brothers since they took over the family business together."
Hail,"(it hails, it is hailing, etc.) hail falls
fall or be hurled forcefully
to cheer, salute or greet
to call out in order to stop, attract attention, ask aid, etc.
have one’s home or origins","acclaim, applaud, barrage, shower, bombardment","dishonor, dribble, disdain","The crowd hailed the champions as they arrived home with trophies in hand.
It hailed so hard through the night that the village was pitiable sight of ruin and destruction in the morning.
Kate waved her arms furiously to hail passing cabs, but none stopped for her that busy Saturday evening at downtown New York."
Vice,"a bad or immoral quality in a person, or bad or immoral behaviour","immorality, profligacy, perversion, transgression, squalor","integrity, virtue, chastity, scrupulosity",The city is a den of filth and vice.
Deficit,"the amount by which money spent or owed is greater that money earned in a particular period of time
a problem that causes a decrease in some ability","lack, dearth, insufficiency, deficiency, shortage, inadequacy, scarcity","abundance, plenitude, amplitude, adequacy, opulence, sufficiency","She has a slight hearing deficit in her left ear.
The government is facing a deficit of $3 billion in the annual budget."
Acclamation,"Loud and enthusiastic approval or welcome
the act of electing someone using a spoken, not written, vote","acclaim, applause, Plaudit","denunciation, objection, criticism, censure","Even though the General wasn’t held in high regard by the masses, he was given the acclamation he deserved for having won the war.
The team received thunderous0 acclamation from the crowd for its brilliant performance in the games."
Perturbation,"the state of feeling anxious about something that has happened
a small change in the quality, behavior, or movement of something","agitation, concern, apprehension, anxiety, Alarm","placidity, peacefulness, calmness, ease, content, serenity","In her perturbation she kept calling her son, a freshmen, to see if everything was alright at college."
Slanderous,Harmful and often untrue; tending to discredit or malign someone,"denigrating, denigrative, libelous, calumnious, defamatory",harmless,"Bob decided to shut down his social media account; the slanderous comments that he received from a certain group often disturbed his peace and he felt it was not worth it.
Being too lazy for exercise, physical or mental, idle gossipmongers are responsible for spreading slanderous tales which degrade people."
Derogatory,showing a critical attitude towards someone,"insulting, scornful, demeaning, disdainful, belittling","laudatory, complimentary, appreciative","Derogatory remarks or gestures can create unwanted tension in sports. However, mature players can turn the tide with a smart retort and most often with their performance. In cricket, Sehwag and Tendulkar are good examples who have handled uncalled for provocations with elan.
Seasoned politicians are very careful while making comments on social culture, religion, or leaders of opposition parties. There is always a likelihood of statements being quoted out of context and considered derogatory."
Univocal,"admitting of no doubt or misunderstanding
having only one meaning or interpretation and leading to only one conclusion","unambiguous, unequivocal, straightforward, somewhat categorical","equivocal, ambiguous",The univocal evidence seen in the video tape was the turning point which convicted the murderer.
Vagrant,One who wanders from place to place without permanent home or a means of liveliness,"rolling stone,, homeless person, itinerant, streetperson, floater, drifter","resolute, determined",His vagrant lifestyle was a result of his father constantly moving from place to place in search of more lucrative vocations.
Vignette,"a short piece of writing or acting that clearly shows what a particular person, situation, etc. is like, a small picture or drawing, especially on the first page of a book.","scene, scenario, story, sketch",,It was pleasure reading anything sent by her as they were decorative by vignettes that enhanced from the start of the letter.
Embezzle,Steal or misappropriate (money placed  in one’s trust or belonging to the organization for which one works),"misappropriate, peculate","give, reimburse, compensate, pay, return","The CEO trusted his aide implicitly, and was hit hard when he discovered that he had embezzled the company’s funds."
Confounded,"confused, bewildered
prove wrong
defeat","baffled, accursed, bewildered","clear, expected",People avoided his company as he is a confounded nuisance and too inquisitive about everything.
Undulating,Having a wavy outline or appearance,"wavy, pulsating","constant, steady, non-varying","She imagined herself sitting at the beach, sipping mocktail, and watching the undulating waves crash on the golden sand on a lazy afternoon as the nurses pierced her entire body with needles.
As his body gave up, he had no other option that to accept his fate. All he could see for miles was nothing but the undulating sands of sahara.
The cheering squad egged their team on with the undulating display of swaying arms and loud cheering."
Condiment,"a sauce, etc. that is used to give flavor to food, or that is eaten with food","flavour, seasoning",,The cafeteria’s self-serve table has a full array of condiments
Solemn,"(of a person) not happy or smiling
done, said, or performed in a very serious and sincere way","serious, portly, distinguished, somber, dignified, stately","undignified, frivolous, goofy, insincere","The funeral of the politician was a private and a solemn affair in the presence of his family members and few close associates.
The principal always wore a solemn look and interacting with students."
Stern,serious and non-compromising especially in matters of exercising discipline and expression of authority,"disciplinary, strict","easy going, lenient, amenable","Janaki wasn’t the typical stern high school teacher, with good balance of humor and firmness she could get any pupil behave in an acceptable way.
”No more traffic violations after this” the officer ordered with a stern expression and let me off with a minor fine."
Squall,"a sudden violent wind, often during rain or snowstorms","gust, puff, storm, rush, blow, flurry, gale, blast, breeze",,"The crew of the small boat was not at all prepared when the squall hit, so it got swamped."
Plunder,"to steal things from a place, especially using force during a time of war","pillage, maraud, loot, despoil",,The village was plundered by the invading army.
Cinch,"something that is very easy
a thing that is certain to happen; a person who is certain to do something","cakewalk, breeze","stumper, toughy, brainteaser",She is extremely nimble on her feet so everybody believes winning the title in this dance competition is a cinch for her.
Acquiescence,"The fact of willing to do what someone wants and to accept their opinions, even if you’re not sure they are right","conformity, approval, agreement, yielding, consent","refusal, disagreement, veto","Good manners demanded our cheerful acquiescence to our host’s plan for dinner.
Though the nawabs continued maintaining silence, it was interpreted as acquiescence to the Emperor.
In silent acquiescence, the generals took directions from the dictator"
bogey,"a thing that causes fear, often without reason
a piece of dried mucus from inside your nose
(in golf) a score of one stroke over par (= the standard score for a hole)
an imaginary evil spirit that is used to frighten children","specter, nightmare, hobgoblin, apparition, phantom",reality,"Tiger Woods won the event with a five stroke lead by hitting a bogey.
Alice froze in fear to see a black bogey crossing her car on the lonely highway.
The bogey of defeat in the election has made the losing parties call for meetings to discuss on what had gone wrong in their agenda."
Demeaning,putting someone in a position that does not give them the respect that they should have,"dishonorable, debasing, undignified, degrading, humiliating, disgraceful",dignified,"At the cellular jail in Andaman islands, many political prisoners were forced into demeaning tasks by the jail authorities.
Many get irked by advertisements showing women in stereotype roles. They find them very demeaning to women.
In the disney adaptation of the European fairytale, Cinderella, the animation beautifully depicts the demeaning treatment of the young girl by her stepmother and stepsisters. So, when she ultimately finds her prince charming. the audience cheer for her good turn in fortunes
Many felt that the chairman of the political party was demeaning to some of the senior members of the party. Perhaps she was insecure of their influence and this was her way to show that she was in command."
Scrumptious,extremely pleasing to the sense of taste,"delectable, delicious","inedible, unpalatable, tasteless, insipid","Jack adored his mothers cakes, they were always scrumptious
Ellen finished her meal with a scrumptious chocolate tart and thanked the host profusely."
ineffable,too great or extreme to be expressed or described in words,"indefinable, inexpressible, indescribable","expressible, describable, conceivable","After so many years of braving the outside world and weather, working from home as an independent professional is a matter of ineffable joy; the kind of happiness I cannot express in words.
If truth is ineffable beyond words, then we can’t determine whether it can be intuited."
repugnance,"showing dislike or hatred towards someone or something
a strong feeling of being contradictory to any person or idea","aversion, abhorrence, revulsion, disgust","admire, respect","The politician whom the news anchor was interviewing belonged to party whose ideology she could not tolerate, hence however well she tried, it was difficult for her repugnance towards him during the show."
Conducive,"Tending to bring about, being partly responsible for","useful, contributive, favorable, helpful","useless, adverse, unfavourable",Psychologists have determined that different kinds of music can be conducive to different activities and promote better performance.
Forlorn,"appearing lonely and unhappy
not cared for and with no people in it
unlikely to succeed, come true, etc.","hopeless, deserted, desolate, miserable, lonely, abandoned","consolable, hopeful, comforted, cheerful, pleased","After a sleepless night in the forest, the children looked bewildered and forlorn."
Gracious,"very polite in a way that shows respect
having or showing the attractive things (such as charm, good taste and comfort) that are associated with having a lot of money
used as an exclamation of surprise, dismay, relief, etc.","sympathy, reverence, generosity, kindness, deference","disdainful, roughness, disregardful","The people loved their beloved Queen for her graciousness and dignity. She always took a moment longer with the exchange of greetings, when amongst them."
contempt,"the feeling that some or something is without value and deserves no respect at all
a lack of worry or fear about rules, danger, etc.","dishonor, defiance, scorn","esteem, honor, respect, regard.","Cleopatra had always regarded Octavius as an utterly mean coward, and never tried to conceal her contempt for him.
The acts of some British officers towards Indian freedom fighters as well as civilians was so brutal that there was often no doubt that it originated from a deep sense of contempt for the natives.
One often comes across instances of young sons of local leaders (especially in small towns) breaking rules, showing utter disregard and contempt for authority of any kind. Due to social media, some events come to light."
Beguile,"to trick someone into something, especially by being nice to them
to attract or interest someone","captivate, entrance, fool, enchant, dupe, fascinate, mislead, delude, deceive, charm, bewitch, betray","repulse, rebuff, repel",She tried to beguile everyone into doing what she wanted.
Ignominy,making one feel embarrassed or humiliated because of an event or situation,"dishonor, shameful, disgrace","esteem, respect, honor","The government threatened defaulters to come forward, or face legal charges and the ignominy of being named in public.
It is better to avoid engaging in immoral or unethical acts as the ignominy of living with the blot throughout one’s life could be very heavy."
Ambit,the range of the authority or influence of something,"border, range",,The children are allowed to play anywhere within the ambit of the fenced area.
Buoy,"to cause (someone) to feel happy or confident
to lift or improve (something)","elate, animate, support, uplift, bolster, elevate","dishearten, discourage, dispirit",Knowing that all her friends were ther buoyed up her spirits.
Catharsis,"the process of releasing, and thereby providing relief from, strong or repressed emotions.
the process of releasing, and thereby providing relief from, strong or repressed emotions.","cleansing, purging",,"Freedom from the notorious labor camps of the Nazis must have been a moment of catharsis for those who survived the bad times.
President Obama’s swearing in ceremony was indeed an event of catharsis for the African American community that had borne the burden of slavery and injustice for generations."
Truculence,Defiantly aggressive or cruel,"brutality, cruelty, mercilessness, viciousness, sadism","benevolence, kindness, compassion","The truculence of the bully, mercilessly violent with smaller boys, was summarily curbed by a bigger boy’s thrashing."
Caricature,"A pictorial, written or acted representation of a person’s traits that exaggerates his traits for comic effects
A comical version of someone or something","parody, cartoon, sham, burlesque, mockery, farce","understatement, meiosis","What is good about this play is that the artists do not reduce themselves to ludicrous caricatures in the name of comedy. They represent simple people, who goof-up inadvertently, thus evoking laughter.
Newspapers often use caricatures of politicians instead of using their photographs."
Vituperative,uttering or given to censure: containing or characterized by verbal abuse,"blistering, insolent, abusive, scathing, scolding","exalting, complimentary, respectful",A few clear statements about where your assistant made mistakes will help more than a vituperative lecture full of bitter words.
Cower,to bend low and/or move backward because you are frightened,"cringe, quail, grovel, shrink, crouch","withstand, dare, confront, accost, counter",Men of strength never cower before an oppressor however ruthless he may be.
quail,fell or show fear or apprehension,"cringe, shrink",,"I quailed at the thought of my impending death.
Other politicians quailed at his arrival."
grovel,To behave in servile or demeaning manner,"fawn, toady, cringe",,"Even though Jane is buried neck-deep in financial problems, after being dismissed from her old occupation, she refused to grovel in front of her old employers in order to get her job back."
Veracious,hones; marked by truth,"honest, faithful, reliable, trustworthy, genuine","untrue, false, dishonest","Everybody respected this reporter who, while capable of stinging commentary, was still veracious, never swerving from the truth"
Salutary,"having good effect on somebody/something, though often seeming unpleasant","beneficent, advantageous, profitable, favorable","harmful, useless",Adversity may not at first seem to do us any good but its salutary effects become apparent later.
Poise,"A calm and confident manner with control of your feelings or behavior
The ability to move or stand in an elegant way with good control of your body.","composure, balance, control, grace","agitation, imbalance","The home team maintained their emotional poise and showed full control over the game despite facing the champions
Constant staring by the onlookers made Priya lose her poise as she walked down the street late at night."
Spurn,"to reject or refuse someone or something, especially in a proud way","Shun, refuse, reject, scorn","beg, entreat, solicit","As a passionate worker and traveler, she spurned the idea of being confined to her home.
People from some sections of the society spurned having McDonald’s and KFC’s in their region, for the fear of Western culture taking over their rich, ancient traditions."
Factious,Given to promoting internal dissension,"insubordinate, conflicting, dissedent","cooperative, harmonious, agreeing","some party members are factious, only wanting to cause differences within the party."
boorish,Rude and clumsy in behaviour,"unpolished, crude, awkward, coarse, uncouth, clumsy, rude, impolite, loutish, loud, insensitive, oafish","refined, polite, charming, cultured, sophisticated","The people of the village, used to politeness and courtesy were put out by the boorish manners of the officers.
It was difficult to understand what she saw in her fiance as his boorish behavior always put off most people.
The boorish behavior of the physical instructor kept many students away from physical classes."
disinclination,a lack of willingness to do something; a lack of enthusiasm for something,"hesitancy, reluctance, reticence","approval, inclination, reticence",There was general disinclination to return to the office after lunch.
Agitate,"to argue strongly for something you want, especially for changes in a law, in social conditions, etc.
to make someone feel angry, anxious, or nervous
to make something, especially a liquid, move around by stirring or shaking it","mix, campaign, shake, worry, disturb, protest, stir, upset","soothe, calm, quiet, still","Various questions raised at different intense moments now agitate the general public since they remain unanswered.
Sam gets agitated since his sister purposely irritates him by taunting."
Beset,to affect somebody/something in an unpleasant or harmful way,"harass, molest","support, help, aid",Robinson Crusoe was beset with innumerable trials when he found himself marooned on an island.
Retrograde,making a situation worse or returning to how something was in the past,"backward, worsening","improving, forward",No one is happy because the new budget seems to be full of retrograde policies… ones that will take the economy back to its earlier state of poverty and debt.
elicit,"draw a response, sometimes with difficulty","obtain, badger, deduce, extract","cover, hide",The policemen tried to elicit information about the robbery from the witness.
Felicitous,"statements or actions that are well-chosen to suit an occasion or situation
the quality of being pleasing and favorable","suitable, propitious, timely, applicable, apposite","inappropriate, improper, unhappy, impertinent","A good number of learning apps available on mobiles provide a felicitous mix of fun and learning.
The principal of the college delivered a felicitous speech welcoming the chief guest of the convocation. The guest, an eminent scientist, also happened to be an alumni of the college."
Fatuous,silly or stupid,"foolish, brainless, stupid, idiotic, absurd","smart, wise, brilliant, bright, intelligent",The fatuous look on the boy’s face revealed how ignorant he was.
Phlegmatic,calm and even-tempered; having an unemotional disposition,"stolid, reserved, impassive, apathetic, spiritless","excited, friendly, fervid, enthusiastic","Given his phlegmatic nature, you cannot expect him to speak up passionately, his feelings notwithstanding."
Repose,"a state of rest, sleep, or feeling calm","leisure, rest, relaxation , ease","worry, upset, agitation, disturbance","After an exciting day of play, the children would repose on the sofa."
Belie,"to give a false impression of someone or something
to show that something cannot be true or correct","controvert, contradict, misrepresent, negate, disagree, repudiate, disapprove","expose, justify, verify, prove, affirm, confirm, attest, reveal","His trim jacket and immaculate dressing manner belied the fact that his thoughts were incoherent and disorganized.
His smooth and pleasant demeanor belied his scheming nature.
Her smile belies the sadness she feels inside."
Inadvertent,Unintentional; failing to act Carefully or considerately,"negligent, unpremeditated",purposeful,Walking along the pathway he inadvertently dropped one of his books.
Effrontery,rudeness without any sense of shame,"rudeness, arrogance, boldness, disrespect","courtesy, deference, respect, timidity",That he could calmly take the effrontery of the young man who bluntly challenged his learning was proof of the scholar’s true learning.
Implacable,opposed to someone or something in such an angry or determined way that it is very difficult to change the person’s mindset or attitude,"relentless, unappeasable, unrelenting","flexible, irresolute, relenting, placable","The entrepreneur felt a mixture of anger, frustration and hopelessness at fighting against a seemingly implacable bureaucratic system. It made him wonder if the system was serious about encouraging new business ideas in the country.
Sarah could never forgive her stepfather for his callous attitude, and she remain implacable till the end.
When Shiva, the Hindu God, lost is wife Sati in tragic circumstances, so implacable was he that he rendered a terrible “Tandava” or dance of destruction; the more he danced, the more destruction arose.
Some members of the opposition party are implacable; they make it a point to oppose anything and everything that the government does and it is hard to make them see reason."
Patent,"a government authority or right conferred for a set of period
readily visible or intelligible","apparent, evident","ambiguous, cryptic","The company sued its employee for patent infringement.
What makes Patrick most suspicious is his patent insincerity towards his friends and family.
The company has bought all the patent rights of selling the drug in the entire state.
Though the advertisement is appealing, it is patent nonsense."
Capricious,characterized by sudden changes in attitude or behavior,"inconstant, whimsical, changeable, fickle","constant, stable, predictable, deepndable","Roman emperors were known for their capricious or ever changing tastes for food, wine and sex."
trenchant,Forceful and vigorous,"forceful, cutting, distinct","sugar-coated, kind, euphemistic","Her trenchant manner of intimidating others rather than appealing to their generous sides, ensured that she got her work done properly."
Pernicious,causing tremendous injury or damage; something (or someone) that is evil,"malignant, deadly, hurtful, destructive, detrimental, damaging, poisonoous",benevolent,"Cigarettes are pernicious to health.
The pernicious influence of TV on children cannot be overlooked"
Impetuous,"acting or done quickly and without thinking carefully about the results
moving forcefully or rapidly","rash, impulsive, unrestrained, hasty","cautious, wary, restrained, careful","The prime minister may now be regretting her impetuous promise to reduce unemployment by half.
the impetuous courage of the soldiers was enough to make the enemies retreat.
Incessant rains made it even more difficult for the authorities to control the impetuous flow of water in the river flowing through the town.
As he flung his arms in an impetuous manner, the glass of juice spilled and went crashing on the floor."
Disgruntled,angry or dissatisfied,"resentful, annoyed, testy, dissatisfied, discontented, unhappy","contented, satisfied, happy","The actor patiently replied to mails from  disgruntled fans, who were upset with his latest movies.
When their demand for the pay hike was not met, the disgruntled employees called for a strike."
Tacit,"that is suggested indirectly or understood, rather than said in words","implied, implicit, unexpressed, assumed, indirect, not spoken, suggested","direct, expressed, explicit, spoken","It is a tacit understanding between the husband and the wife that makes them understand one another and not act in a manner that hurts others feelings.
A tacit understanding among family members helps them understand each other."
Cogent,strongly and clearly expressed in a way that influences what people believe in,"Persuasive, forceful, convincing","invalid, ineffective, unconvincing",Her argument convinced the panel because of her cogent reasoning.
