Word,Meaning,Synonym,Antonym,Usage
Propitious,"something that is likely to produce good results
being a  good omen","bright, hopeful, auspicious, encouraging, heartening, optimistic","depressing, inauspicious, hopeless, pessimistic, discouraging","The weather was not propitious to start the soccer match.
The meeting between the dignitaries is propitious to forge new alliance.
With gently drizzle livening up the weather, the farmer thought it was a propitious beginning to the new season."
Disparage,Speak in a slighting disrespectful way,"decry, belittle, defame","compliment, commend, flatter, approve, praise","It is common for one to disparage a more successful office colleague even if he is a friend.
All that the child needed was some encouragement, but her mother disparaged her before others so much that the child failed to shine."
Disparate,"made up of parts or people that are very different from each other
so different from each other that they cannot be compared or cannot work together","dissimilar, distinct, various, inconsistent, contrary","comparable, equivalent, similar, alike",The language skills of an established writer and one unused to writing are disparate and therefore should not be compared.
Indolent,"wanting to avoid activity or exertion; lazy, inert","dragging, idle, lethargic, inert, sluggish","attentive, industrious, energetic, robust, lively",The family doctor advised the young millionaire to give up his indolent life style and take up some hard work to regain his health.
Quandary,"a situation from which extrication is difficult, especially an unpleasant or trying one","predicament, plight","breeze, cinch, snap",When you have to take a decision between “the devil and the deep sea” you are truly in a quandary.
Concur,"Be in accord, be in agreement","hold, coincide, agree",disagree,The persuasive power of the foreman of the jury convinced all the members to concur on a verdict of not guilty.
Salient,"very important and having the quality of being noticeable
projecting outward (as in an angle)
conspicuous or prominent","striking, conspicuous, important, outstanding, prominent, remarkable","inconspicuous, unnoticeable, insignificant, invisible, unimportant, unimpressive",The salient point are the most important ones and so the speaker reads them out slowly.
Propensity,a tendency to a particular kind of behavior,"penchant, inclination, tendency, competence, disposition",disinclination,Do not force your child into taking up any discipline that goes against his natural propensity.
Declaim,"to say something in usually a loud and formal way
to speak or write for oratorical effect, as without sincerity or sound argument","decry, harangue, proclaim, inveigh, denounce, declare","compliment, praise","The crowd would wait in great anticipation to hear him declaim poetry or discuss painting with a breadth of knowledge.
Angered by the false testimony against him, he raised his right fist to declaim, “Liar, cheat, you will suffer…”."
Perfunctory,"carried out without real interest, feeling, or effort
lacking in interest or enthusiasm","careless, disinterested, casual, cursory, proforma, passing, negligent","careful, thorough","It is disgusting when customer support executives at call centers provide perfunctory answers to your queries instead of providing solutions to your unique situation.
Her interest in philosophy was perfunctory and passive. She simply took the class for extra credits."
Irascible,quickly aroused to anger,"cross, quick-tempered, hotheaded, touchy, hot-tempered, short-tempered, angry, petulant, choleric, grouchy, feisty, cantankerous","cheerful, amiable, euphoric, pleasant, pleased, easygoing, peaceable, cool, kind, composed, patient, calm, collected","The young man found his fiancee irascible through the evening just because she had to wait long for him
The principal was irascible and prone to snap at anyone who intruded into his office without valid reason.
The irascible passenger, with characteristic ire, flared up angrily when the Ticket Inspector demanded for proof of age."
Turpitude,a corrupt or depraved or degenerate act or practice.,"baseness, immorality, debauchery, depravity, degradation, corruption","kindness, honor, decency","He descended to the basest turpitude, stealing the amount saved for paying his child’s school fees, just to buy his cocaine."
Calumny,Misrepresentation with evil intention,"denigration, slander, aspersions, defamation",kindness,"One of the prizes one has to pay for fame and success, is that one can be the target for calumny at any time and any place."
Construe,"to understand the meaning of a word, a sentence, or an action in a particular way","interpret, construct, see","confuse, obscure, complicate","It is better to be upfront and clear in one’s communication, lest the listeners construe something that was never meant.
It is better to speak in clear understandable sentences and ensure that what one says is not construed in any other way."
Inexorable,that cannot be stopped or changed,"uncompliant, adamant, stubborn, inflexible, implacable, unbending","remorseful, merciful, yielding, lenient, flexible","Despite his pleas for forgiveness, Bob’s inexorable father still grounded him for a week."
Arbiter,"a person who impartially decided or resolves a dispute or controversy
a person having complete control of something","controller, judge, arbitrator","disruptor, instigator","One gets a feeling of freedom in being the arbiter of one’s own actions: both to do things as they will and be responsible for the outcomes.
Officials of the UN were called to be the arbiters in the conflict between Syria and Russia."
Culminate,Reach a climax or point of highest development,"pinnacle, climax","collapses, tumble, crumble","The four day cultural festival in our college usually culminates with a live rock show, where we invite some of the best bands of the country."
Invective,Sharp abuse,"vituperation, censure, berating",praise,Banter can be fun as long as the exchanges are only in jest and do not end up in invetives.
Largess,Generosity of spirit or attitude,"magnanimity, munificence","stinginess, miserliness",The philanthropist was known for his largess to all of the cultural institution in the city.
Ingratiate,"To do things in order to make someone like you, especially someone who will be useful to you.
To gain favor or approval for (yourself) by doing or saying things that people like.","manipulate, keep in line, control","avoid, dissociate, withdraw",The student was trying to ingratiate himself with senior professors with an intention of getting good recommendation letter while applying for graduate studies.
Mendacious,"Tending to cheat, mislead or steal","untruthful, insincere, deceptive, deceitful, fraudulent","honest, trustworthy, loyal, truthful, upright","Natively mendacious, the man could not be trusted with even the least amount of money."
Exacting,"Placing great demand on one’s endurance or skill
something that takes up much time, attention, or effort from someone","hard, stringent, demanding, tough","Unfastidious, undemanding, unfussy","Companies that develop software for critical sectors such as banking and finance put in significant efforts to meet the exacting demands of their clients.
The exacting nature of some tutors can be demotivating to some learners who are perhaps not so interested in that subject.
Considering the importance of safety, manufacturing processes in the aircraft industry are very exacting.
Harry quit since he found his job too exacting though it was high paying. He started looking out for simpler options."
Appropriate,"to take something, someone’s ideas, etc. for your own use, especially illegally or without permission
to take or give something, especially money for a particular purpose","seize, annex","give, concede, cede, donate",When a load is not settled in time the bank can appropriate the securities.
Repudiate,to reject the authority or validity of ,"invalidate, reject","confirm, acknowledge, accept, retain","The foreign minister, who had been deprived of his portfolio, repudiated every charge of corruption against him."
Levity,Lightness of manner of speech,"funniness, lightheartedness, amusement, jococity","seriousness, gravity","I love news channels that try to offer lively coverage and bring some levity to some of the serious issues.
Her father’s sudden demise has created a deep shock. She may not even want levity of jokes or funny movies or perhaps even interaction with former friends."
Opprobrium,"Slanderous onslaught against one in disgrace
public disgrace arising from shameful conduct.","slander, shame, contempt, disgrace","esteem, respect, honour",The actor was unfazed by the slanderous remarks made against him as he knew that opprobrium was a price to pay for fame.`
Livid,"furiously angry
dark bluish grey in colour","enraged, furious, incensed","cheerful, calm",Mary’s arms had livid bruises after the nasty fall she had from the stairs three days ago.
Constrict,"make narrower by encircling pressure
(of a snake) coil round
inhibit or restrict","Inhibit, contract, smother, suffocate, restrict, restrict, shrink, stifle, compress, obstruct, tighten, limit","free, let go, expand, release, loosen","The court constricted him to leave the station.
Her tight dress constricted her from moving freely.
the python constricted the cow to break it’s bones."
Restive,"(of people or individuals) unable to remain still, silent, or submissive, especially because of boredom or dissatisfaction
(of horses) stubbornly standing still or moving backward or sideways; refusing to advance","agitated, jittery, fractious",,"The best of the horses from the stables for the cavalry men accompanying the president’s ceremonial ride. They obviously did not want horses that had a tendency to be restive.
Since the arrival of the President was delayed by a few hours, the crowd become more and more restive."
Recondite,Not understood or known by people,"mysterious, abstruse, cryptic, obscure, arcane","simple, straightforward, familiar",The inscriptions on the tomb were in a script that was recondite. They were sent to the few available experts of the script of deciphering.
Perfidious,"Tending to betray, relating to acts of faithlessness","dishonest, deceitful, treacherous, disloyal","faithful, honest, loyal, steadfast",For personal gain he committed the perfidious act of promising non-existent jobs abroad to many trusting youth.
Steadfast,"firm in ones decision, not changing one’s mind especially in belief in something or support to a person or cause",,,"Thought illiterate and poor, it was the laborers steadfast belief that his children would lead a better tomorrow only if they acquire good education. He strove day and night to achieve this goal.
When young Dhoni was getting frustrated as a ticket collector in railways and not getting a deserving break into the national cricket team, it was his Manager who advised him to remain steadfast until opportunity knocks doors.
The daughter’s steadfast refusal to enter into a state of matrimony is in large part due to having a secret lover of her own."
Ostentatious,intended to attract notice and impress others; display that is tawdry or vulgar,"pretentious, immodest","unpretentious, modest, unpretending","Her ostentatious taste were obvious in her selection of showpieces, all of them were gaudy and loud without any particular charm.
The ostentatious attentions of the waiter revealed a hidden interest and James Bond was immediately alert."
Lurid,"presented in vividly shocking or sensational terms
unpleasantly bright in color, especially so as to create a shocking harsh effect","brilliant, flaming, exaggerated, fluorescent, intense, glaring, sensational, dazzling","soothing, enjoyable, delightful, fade, comforting, pleasant","Many social media sites warn if the video in the user’s feed is likely to contain extreme violence or lurid details of inhuman acts.
Though the content is good, the lurid design of the book cover can deter people from buying it.
she was curious to know get lurid details of inhuman act in the film. Rather, the director uses alternate narrations to convey that the act was ghastly."
Obsequious,ostentatiously servile or polite heavy,"abject, deferential, submissive, subordinate, ingratiating, servile","disobedient, arrogant, domineering","The obsequious sycophants around a celebrity, with their tedious presence everywhere, do not improve his image.
She preferred looking around by herself and was irritated by the obsequious shop assistants who insisted on helping her."
Intrepid,Resolutely courageous,"fearless, brave, dauntless","fearful, cowardly","The intrepid prince had to perform yet another daring act to demonstrate his native courage.
It is amazing to imagine how centuries ago, intrepid sailors navigated between countries in their primitive sail ships."
Abject,referring to the condition of person as miserable or contemptible,"wretched, miserable, contemptible, hopeless, resigned","exalted, proud, noble, magnificent, worthy, commendable, excellent",Those on the shores of Yamuna stared in abject horror as the thousand headed serpent Kaliya rushed towards Krishna.
Ostensible,"appearing as such, but not necessarily so; pretended","superficial, imitative, seeming, apparent","genuine, profound","Though the ostensible reason for his visit was a holiday, he was really interested in learning about the recluse media baron who lived there."
Countenance,"(formal or literary) a person’s face or their expressions;
support or approval","features, profile","nervousness, alarm, discomposure, agitation","His cheerful countenance keeps everyone at ease.
Sandra begged the authorities to show tolerance and countenance, and offer help to relieve her distress."
Potentate,"(literary, often disapproving) a ruler with tremendous power, especially when this is not restricted by the parliament etc.","prince, emperor, sovereign, king, autocrat","employee, subordinate, commoner",Visitors to the museum often feel awed at the display of artillery potentates used few centuries ago.
Antithetical,directly opposite or opposed,unlike,"identical, same, like",Slavery is now considered antithetical to Christian principles by most Christians in the worlds.
Legerdemain,skillful use of one’s hand when performing conjuring tricks,"magic, trick",transperancy,"The magician drew endless scores of toys and trinkets, almost from nowhere with effortless legerdemain."
Stentorian,"Loud, booming commanding (voice)","booming, loud","soft, quiet","the attention which the poor lecturer with his squeaky voice failed to get, came running to him, the instant the Principal called to the student in his stentorian voice."
Avarice,extreme greed for material wealth,"greed, cupidity, covetous, rapacity","benevolence, generosity, charity",What distinguishes man from beast is his avarice; an animal has no greed for anything once its urge is sated.
Dilettante,"a person having a superficial interest in an art or a branch of knowledge
an amateur admirer or lover of the arts",amateur,expert,"It is not possible for most of us to pursue arts as a full-time profession, yet being a dilettante and maintaining a basic interest often helps us deal with the monotony and stress of our profession that provides our daily bread."
Maudlin,effusively or insincerely emotional,"mushy, slushy, emotional","unemotional, austere, undemonstrative","Drunk to the gills, the man was in a maudlin mood, bemoaning the perceived injustices in the world"
Balk,Refuse obstinately or abruptly,"refuse, resist, thwart","proceed, progress","Think of all possible challenges in the enterprise you are taking; don’t balk when you encounter any, but meet them and proceed."
Malignant,"(of a tumor or disease) that cannot be controlled and is likely to cause death
having or showing a strong desire to harm somebody","metastatic, vicious, harmful, bitter, cancerous, spiteful","loving, noncancerous, amiable, benign, benevolent, unmalicious","His death was caused by the malignant tumor known as mesothelioma which invaded the entire lung.
The root cause of female genocide is due to the malignant attitude of some people."
Asperity,expressing bitterness or hatred in speech or behavior towards someone,"bitterness, pungency, acrimony, meanness, acerbity","politeness, mildness, kindness",He did not hide the asperity in his tone while pointing out to me that I was a slow learner.
Iniquity,the fact of being very unfair or wrong; something that is very unfair or wrong,"wickedness, heinousness, injustice, immorality","justice, goodness, virtue","Like Robinhood, he has made it his life’s personal mission to correct social iniquity anywhere he sees it. So when he sees any instance of gross injustice or wickedness in society, he gathers the required resources to fight and deliver justice as soon as possible."
Disquieting,causing worry and unhappiness,"annoying, disturbing, distressing, upsetting","calming, pleasing, soothing",Technological advancement has led to an alarming and disquieting state of  a self-centered world.
Predicament,"a difficult or unpleasant situation, especially one where it is difficult to know what to do","dilemma, plight, pinch, fix","good fortune, solution","The sudden change in the weather and loss of communication with the base posed a severe predicament to the mountaineers. It was sheer courage and some luck that saw them coming safely out of it.
With practically no support from her family and a demanding job, it was not hard to imagine the predicament that Cathy was going through as a single mother of a three year old.
A strong president guided by a very good economist, perhaps, is the only way this country can come out of its financial predicaments."
Vestige,"A trace or remnant of something that is disappearing or no longer exists
(usually with a negative connotation) the smallest amount","shadow, fragment, remnant, trace, legacy",,"Maybe the news is rumor, but there might be a vestige of truth in it.
Modern steel and glass structures are replacing the British era structures in the city; a dozen odd public buildings have retained vestiges of the colonial legacy of the cantonment town."
Enstrangement,"the fact of no longer being on friendly terms or part of social group
the fact of no longer living with the one’s spouse or partner; separation","parting, separation, divorce, alienation, hostility, isolation","reconcilement, alliance","Despite the estrangement, they couldn’t stop thinking about each other.
Nankha was desperate to discover what had caused the years of of estrangement between him and the rest of the members of the clique."
Prolixity,boring verboseness,"garrulousness, verbosity, logorrhea, garrulity, diffusion, circumlocution","brevity, pithiness, succinctness, briefness, compactness","He was utterly fed up with the prolixity of the politician’s speech.
Used to explaining everything very briefly he found the prolixity of the lengthy speech of the visitor boring."
Alienate,Cause to become unfriendly or hostile,"disunite, estrange, separate, divide","reunite, unite, befriend, endear","Mere apathy to your fellow-men can alienate people, as they tend to treat you as an outsider or alien."
Spate,"(of something) a large number of similar things that happen suddenly withing a short period of time
(of a river) containing more water and flowing more strongly that usual","rash, run, flood, cluster","thoughtful, cautious, careful","The sudden decision of the minister to resign triggered a spate of discussions with numerous speculations.
The river is in spate.
Just within a short quick movement, there was a violent spate of attack on the trourists."
Immure,enclose or confine (someone) against their will,"imprison, confine","liberate, free, discharge","Back in the days, the enemy troops were immured in these dungeons until death."
Skittish,"(of horses) easily excited or frightened and therefore difficult to control
( of people) not very serious and with ideas and feelings that keep changing","restive, coltish, excitable, frisky, nervous","dull, nerveless, unshakable, unexcitable, lazy","The skittish mare freaked out at the slightest sound.
My skittish frivolous brother is not at all serious about anything"
Caprice,a sudden change in attitude or behavior for not obvious reason,"fickleness, volatility, inconstancy","resoluteness, constancy, firmness, steadfastness",He was a victim of his own caprice and ego: often taking decisions which did him more harm that good.
Acquisitive,excessively interested in acquiring money or material things,"greedy, materialistic, rapacious, avaricious","non-materialistic, charitable, altruistic","He believed one had to be competitive and acquisitive to make a mark in the ruthless industry.
The heritage site is under threat since builders with acquisitive mindset are vying with each other to acquire the property and convert it into a commercial center."
Plod,"walk doggedly and slowly with heavy steps
walk slowly and perseveringly at dull task","trudge, toil, labor","tiptoe, glide","After a long day’s work, I saw them plodding slowly across the field making their way to the farm house.
Savina, plodding through her studies, just managed to pass without any major achievement."
Debunk,"expose the falseness or hollowness of (an idea or belief)
reduce the inflated reputation of (someone)","negate, expose, invalidate, explode","prove, uphold","He invested a majority of his time and energy in debunking the politician.
The book aims at debunking the community’s superstitious beliefs."
Entail,involving something that can’t be avoided,"necessitate, demand, need","leave out, omit, exclude","This journey that you have embarked upon certainly entails a lot of hard work, dedication, and perseverance.
Entrepreneurship entails great risk and uncertainty. Hence, not many take up this path."
Expedient,"(of an action) useful or necessary for a particular purpose, but not always fair or right","politic, convenient, practical","unbeneficial, inexpedient, unprofitable",The new budget reforms are both economically and politically expedient.
Raconteur,a person who is good at telling stories in an interesting and amusing way,"anecdotist, narrator",,He identifies himself as a raconteur as he loves to regale everyone with his folklores.
Rein,"a long narrow leather band that is attached to a metal bar in the horse’s mouth to control the horse
a pair of straps used to restrain a young child
the power to direct and control","tie, hold","release, free","The company designs fully adjustable children’s and baby’s reins to keep toddlers safe while walking.
The managing director handed over the director’s rein to one of his subordinates.
The horse was petrified; Scarlett grabbed the reins and shook it gently, which let the horse gallop ahead."
Rife,"predicative of something undesirable of common occurrence; widespread
(with something) full of something bad or unpleasant","widespread, common, overflowing, omnipresent","unaccepted, unload, dormant, uncommon, concentrated, sluggish, inactive, limited","With robbery, theft, and extortion so rife in the place, the security was spruced up.
The media was rife with rumors about the separation of the celebrity couple."
surmise,Suppose that something is true without having evidence to confirm it,"guess, suspect, speculate, conjecture","calculation, measurement",The security officer surmised that the suspect was lurking close by since the wounds on the victim were still fresh.
Antipathy,strong feeling of dislike,"hatred, enmity, animosity, grudge","amity, affection","The Nazis fostered and fomented the antipathy towards Jews.
The candidate lost the election due to antipathy of the public towards him."
Exhort,"to persuade or influence (someone) earnestly
advise firmly
admonish strongly","encourage, bid, persuade, advise, urge","brake, discourage, dissuade, deter",The teacher exhorted the students to pay attention.
Expedite,to make process happen more quickly,"speed up, quicken, accelerate, hasten","retard, hinder, delay","To ensure deliveries are expedited efficiently to customers, we have strengthened our order processing system."
Appalled,"to show fear, shock and disappointment to something unpleasant","daunt, petrify, terrify, frighten, dismay","reassure, delight, comfort","Mother Teresa was appalled to see the pitiable condition in which the urban poor lived when she first landed in India as young nun.
Harry who suffers from the fear of closed places was appalled when his parents locked him in a little room for disobedience."
Coup,"the fact of achieving something that was difficult to do.
a sudden, illegal, and often violent change of government","accomplishment, achievement, success, triumph","failure, debacle, fiasco","It was a major coup when they got the Vice President to inaugurate their charity show.
The army general assumed charge of the government after toppling the civilian government of the country through a swift military coup."
Covet ,"to want something very much, especially something that belongs to someone else","crave, want, pine, envy, ache, long, desire, wish, pant, hanker, yearn","ignore, reject, renounce","""Coven not thy neighbor’s wife,” says the Bible, because she belongs to someone else.
Martin knew as soon as he rode his new skateboard out of the driveway, his mates would covet it."
Conjecture,an opinion or idea that is not based on definite knowledge and is formed by guessing,"supposition, guess, surmise","truth, fact, proof, reality","Most of the book is conjecture, not fact."
Condescend,"Deal with people in a patronizingly superior manner
to do something that you think it is below your social or professional position to do","descend, degrade, bend, comply","respect, rise above","The celebrity, normally unyielding, condescended to sign her autograph in the diary which the little girl put out to her."
Appellation,a name or title,"designation, title, label, epithet",anonymity,One should use appellations very reservedly when honoring a person with titles and make sure that they are truly deserved.
Consummate,extremely skilled; perfect ,"complete, flawless, absolute","deficient, inadequate, amateurish, incomplete","With consummate skill, Arjuna emptied his quiver of arrows straight at the target."
Inclement,not pleasant,"foul, stormy, cold",clement,Thousands braved the inclement weather last week.
Temerity,Foolishly daring or being fearless; brave without considering chances,"recklessness, audacity, carelessness, rudeness","cowardice, caution, care","It is sheer temerity for a single individual to defy the government, which can stand against him longer than he can."
Moribund,A person or activity which is decaying or dying,"affected, diseased, sick, terminal","robust, lively, vivacious, healthy",To preserve the economy the government takes over moribund industries to revive them with finance and management.
Impunity,Quality of being protected from punishment for misconduct,"immunity, protection","imprisonment, incarceration","Today the law - abiding citizen lives in fear of undeserved punishment, while political criminals walk with impunity."
Conflagration,a very large fire that destroys a lot of land or buildings,"inferno, blaze, wild fire","serenity, placidity",Many structures were destroyed in the conflagration that accidentally hit the village following a fire in a hay stack.
Incumbent,Having an official position and authority,obligatory,relinquishment,The people are likely to vote for the opposition as the incumbent government has done little to improve the economy and create jobs.
Surreptitious,"marked by quiet, caution and secrecy","lurking, furtive, sneaky, stealthy",unconcealed,The secret agent took surreptitious peeks into the rooms in the mansion of the accused film star during the course of the lunch party in her house.
Amorous,showing sexual desire and love towards someone,"sexy, erotic, loving, affectionate","frigid, unfriendly, cold",She is the object of his amorous intentions.
Consternation,"a worried, sad feeling after you have received an unplesant surprise","distress, discomposure, perturbation, dismay, disquietude, trepidation","composure, calm, tranquility, peacefulness",the announcement of her retirement caused consternation among tennis fans.
Peremptory,"putting an end to all debate or action
intolerantly positive or assured; imperious
(a command) that cannot be denied, opposed, or delayed","autocratic, high-and-mighty, magisterial, dominating, bossy",submissive,"From the peremptory manner in which Sam told her that he would return, Mary doubted his intentions.
Waiting outside anxiously, he hoped the inquiry would get postponed or dropped, when the peremptory call of the secretary summoned him."
Ennui,The feeling of being bored by something,"monotony, boredom, tedium, weariness","excitement, liveliness, enthusiasm, thrill","Excessive enjoyment & indulgence results in staleness, leading to total ennui.
The ennui displayed by the big yawns of those waiting at the dentist’s was a result of the unending wait."
Mein,"A person’s appearance or manner, especially as an indication of their character or mood","aura, demeanor","veil, facade","Victor always had the mien of an ancient warrior, and no wonder bagged a number of roles in historic movies.
Most of the local whom we met in the bazaar in Goa smiled at us with a kind greeting, and accepted our requests for photographs with a happy mien.
Susan impressed everyone with her calm mien."
Anathema,a thing or an idea that you hate because it is the opposite of what you believe,"denunciation, detestation, damnation","benediction, beloved","She was raised in a conservative family that gave high importance to careers involving scholarship and learning. Her ideas of pursuing a career in films and modeling were obviously an anathema to the family.
A die-hard member of the green brigade, Tom goes to great lengths to avoid using plastics. Using anything that is non-biodegradable is anathema to him."
Amnesty,Pardon,"forgiveness, pardon","chastisement, assessment, castigation, sentence, conviction","When he was awarded capital punishment, the prisoner tried in vain to seek presidential amnesty."
Allude,refer indirectly,"imply, hint, intimate, refer",advertise,"Any comments on women in general could not be made her presence as she would think you are alluding her personally.
whenever he recounted his rags to riches story he would allude to the role played by his mentor in guiding him."
Pensive,quietly engaged in deep thought,"thoughtful, melancholy, reflective","shallow, distracting","With sporadic violence erupting, the public were pensive about moving away from the place."
Accost,Be first to approach and speak,"approach, address, hook, solicit","dodge, avoid, shun",She got extremely agitated when the salesman accosted her as she was window shopping and pressing product on her.
Advent,start of an era or age,"beginning, entrance, arrival","end, exit, departure",The advent of the IT era has brought about revolutionary changes in the Indian economy.
Congenial,"pleasant to spend time with because their interests and character are similar to your own, pleasant because it suits your character, suitable for something","like-minded, affable, compatible, companionabe","incompatible, uncongenial, unfriendly, disagreeable, ill-suited","a congenial colleague.
a situation that was congenial to the expression of nationalist opinions.
pleasant because it suits your character."
Antithesis,"A person or thing that is direct opposite of someone or something else
a contrast between two things","converse, contrast, reverse, contrary, inverse","same, similar","Sue is John’s antithesis: he is gregarious, while she is shy."
Pandemonium,"a situation in which there is a lot of noise, activity, and confusion, especially because people are feeling angry or frightened","commotion, confusion, uproar, turmoil, chaos","calm, peace",The circus clown created pandemonium in the classroom when she acted like a seal
Asinine,extremely stupid or silly,"absurd, fatuous","prudent, judicious",The fact that the man tried to rob the bank with a water gun was a very asinine concept.
Incisive," showing clear thought and good understanding of what is important, and the ability to express this","concise, penetrating, piercing, trenchant","incompetent, vague",She’s known for her incisive mind and quick wit.
Contort,to bend or twist into an unusual shape,"screw, squinch, distort, deform","rectify, straighten",The muffin had turned so sour that Tim’s face contorted as soon as he put it in his mouth.
Exult,to feel and show that you are very excited and happy because of something that has happened,"triumph, rejoice",lament,"He learned back, exulting at the success of his plan."
Concomitant,happening at the same time as something else,connected,unrelated,"The university administration was in a fix as any increase in student intake would meant a concomitant increase in expenditure for resources, which would in turn require additional funding."
Megalomania,"a mental illness in which the person has delusions of grandeur, power, wealth, etc.
a tendency to exaggerate
a passion to do big or powerful things","egocentricity, baostfulness","humility, altruism",The singer’s megalomania has turned her into an arrogant woman who is disliked by everyone.
Subterfuge,"a secret, usually dishonest, way of behaving","trick, conspiracy, deception, atrifice","honesty, openness","Subterfuge, ingenuity and most of all persistence are all necessary attributes for a successful spy."
Badger,Nagging or annoying another with incessant questions or comments,"goad, bully, annoy",aid,Rhea quit the job as a consequence of her boss’s constant badgering.
Factitious,not genuine but created deliberately and made to appear to be true,"stimulated, imitative, artificial","natural, real, genuine","Technology has advanced so much that even a Rembrandt displayed in the Louvre may well be factitious, rather than original."
Feint,a movement that is intended to make your opponent think you are going to do one thing when you are really going to do something else.,trick,"transparency, awareness",The attack on the main gate was merely a feint.
Strident,Unpleasantly loud and harsh,"vociferous, loud, harsh","soft, dulcet, mellifluous",He hated to be shocked out of his deep sleep by the strident ringing of the alarm clock.
